Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
RL,Land Use,144,Sri Lanka,5110,Area,6690,Land area equipped for irrigation,2020,2020,1000 ha,637,I,Value imputed by a receiving agency,
RL,Land Use,144,Sri Lanka,5110,Area,6690,Land area equipped for irrigation,2021,2021,1000 ha,637,I,Value imputed by a receiving agency,
RL,Land Use,144,Sri Lanka,5110,Area,6690,Land area equipped for irrigation,2022,2022,1000 ha,637,I,Value imputed by a receiving agency,
RL,Land Use,144,Sri Lanka,5110,Area,6690,Land area equipped for irrigation,2023,2023,1000 ha,637,I,Value imputed by a receiving agency,
