Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
RP,Pesticides Use,144,Sri Lanka,5157,Agricultural Use,1357,Pesticides (total),2020,2020,t,2573,A,Official figure,Official figure
RP,Pesticides Use,144,Sri Lanka,5157,Agricultural Use,1357,Pesticides (total),2021,2021,t,2778,A,Official figure,Official figure
RP,Pesticides Use,144,Sri Lanka,5157,Agricultural Use,1357,Pesticides (total),2022,2022,t,2140,E,Estimated value,Estimated Value
RP,Pesticides Use,144,Sri Lanka,5157,Agricultural Use,1357,Pesticides (total),2023,2023,t,1799,E,Estimated value,Estimated Value
