Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"RFN","Fertilizers by Nutrient","144","Sri Lanka","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","2008","2008","t","69049","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","144","Sri Lanka","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","2009","2009","t","52519","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","144","Sri Lanka","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","2010","2010","t","50679","I","Value imputed by a receiving agency",""
"RFN","Fertilizers by Nutrient","144","Sri Lanka","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","2011","2011","t","62423","I","Value imputed by a receiving agency",""
"RFN","Fertilizers by Nutrient","144","Sri Lanka","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","2012","2012","t","62629","I","Value imputed by a receiving agency",""
"RFN","Fertilizers by Nutrient","144","Sri Lanka","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","2013","2013","t","43877","I","Value imputed by a receiving agency",""
"RFN","Fertilizers by Nutrient","144","Sri Lanka","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","2014","2014","t","62568","I","Value imputed by a receiving agency",""
"RFN","Fertilizers by Nutrient","144","Sri Lanka","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","2015","2015","t","39382","E","Estimated value",""
"RFN","Fertilizers by Nutrient","144","Sri Lanka","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","2016","2016","t","28798","I","Value imputed by a receiving agency",""
"RFN","Fertilizers by Nutrient","144","Sri Lanka","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","2017","2017","t","19460","I","Value imputed by a receiving agency",""
"RFN","Fertilizers by Nutrient","144","Sri Lanka","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","2018","2018","t","40973","E","Estimated value",""
"RFN","Fertilizers by Nutrient","144","Sri Lanka","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","2019","2019","t","39791","E","Estimated value",""
"RFN","Fertilizers by Nutrient","144","Sri Lanka","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","2020","2020","t","51155","E","Estimated value",""
"RFN","Fertilizers by Nutrient","144","Sri Lanka","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","2021","2021","t","13773","E","Estimated value",""
"RFN","Fertilizers by Nutrient","144","Sri Lanka","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","2022","2022","t","13773","I","Value imputed by a receiving agency",""
"RFN","Fertilizers by Nutrient","144","Sri Lanka","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","2023","2023","t","13773","I","Value imputed by a receiving agency",""
"RFN","Fertilizers by Nutrient","144","Sri Lanka","5157","Agricultural Use","3104","Nutrient potash K2O (total)","2000","2000","t","59100","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","144","Sri Lanka","5157","Agricultural Use","3104","Nutrient potash K2O (total)","2001","2001","t","54244","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","144","Sri Lanka","5157","Agricultural Use","3104","Nutrient potash K2O (total)","2002","2002","t","61589","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","144","Sri Lanka","5157","Agricultural Use","3104","Nutrient potash K2O (total)","2003","2003","t","58111","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","144","Sri Lanka","5157","Agricultural Use","3104","Nutrient potash K2O (total)","2004","2004","t","60837","A","Official figure","Official data from questionnaire"
