year,yield_kg_ha,area_harvested_ha,fertilizer_tonnes,irrigation_area_ha,temp_annual_mean,precip_annual_mean
2000,3437.4,832000.0,246965.0,570000.0,26.8046174863388,2.869234972677596
2001,3522.8,765040.0,244068.0,570000.0,26.30380821917808,3.1473150684931506
2002,3488.9,819590.0,285071.0,570000.0,26.815616438356166,3.2730958904109593
2003,3369.6,911440.0,246225.0,570000.0,26.670630136986304,2.6134246575342464
2004,3651.6,719690.0,258309.0,570000.0,26.891448087431694,3.4400819672131147
2005,3546.5,915260.0,280821.0,570000.0,26.49323287671233,3.1586027397260277
2006,3670.5,910493.0,305881.0,570000.0,26.14709589041096,4.209095890410959
2007,3833.7,816713.0,288525.0,570000.0,26.133863013698633,3.538904109589041
2008,3680.0,1052993.0,374054.0,570000.0,25.89109289617486,3.639153005464481
2009,3874.8,942410.0,309514.0,570000.0,26.553753424657536,3.6281917808219175
2010,4055.8,1060360.0,274857.0,570000.0,26.110054794520547,5.237452054794521
2011,3569.9,1091050.0,334509.0,570000.0,25.813260273972602,5.597260273972603
2012,3605.7,1066620.0,267612.0,570000.0,26.423934426229508,4.830928961748634
2013,3889.7,1188000.0,226181.0,600000.0,25.930301369863013,3.937041095890411
2014,3837.7,881000.0,339709.0,630000.0,26.548109589041093,5.7934246575342465
2015,3979.4,1211000.0,247124.0,630000.0,25.998493150684933,5.537068493150685
2016,3872.8,1141323.0,165405.0,633000.0,26.780273224043714,3.045464480874317
2017,3010.3,791679.0,154983.0,637000.0,26.748602739726028,3.4484383561643837
2018,3775.2,1040954.0,189688.0,637000.0,26.27928767123288,3.977150684931507
2019,4795.4,957596.0,260652.0,637000.0,27.2406301369863,4.413068493150685
2020,4802.1,1066403.0,410166.0,637000.0,26.614945355191256,4.076612021857923
2021,4570.9,1126605.0,211203.0,637000.0,25.954301369863014,5.541506849315069
2022,3045.0,1114246.0,211203.0,637000.0,25.917397260273972,4.992109589041096
2023,3881.5,1162805.0,211203.0,637000.0,26.455753424657534,6.420821917808219
